GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
java-project,fr.univavignon.pokedex.api,Team,0,27,0,0,0,5,0,1,0,1
java-project,fr.univavignon.pokedex.api,PokemonFactory,0,43,0,0,0,5,0,2,0,2
java-project,fr.univavignon.pokedex.api,PokedexException,0,4,0,0,0,2,0,1,0,1
java-project,fr.univavignon.pokedex.api,PokemonMetadataProvider,0,63,0,2,0,9,0,4,0,3
java-project,fr.univavignon.pokedex.api,Pokedex,0,77,1,3,0,17,1,9,0,8
java-project,fr.univavignon.pokedex.api,PokemonMetadata,0,33,0,0,0,12,0,6,0,6
java-project,fr.univavignon.pokedex.api,RocketPokemonFactory,105,0,6,0,26,0,7,0,4,0
java-project,fr.univavignon.pokedex.api,PokemonTrainerFactory,0,40,0,6,0,9,0,5,0,2
java-project,fr.univavignon.pokedex.api,PokedexFactory,0,18,0,4,0,4,0,4,0,2
java-project,fr.univavignon.pokedex.api,PokemonTrainer,0,21,0,0,0,8,0,4,0,4
java-project,fr.univavignon.pokedex.api,PokemonComparators,41,0,0,0,8,0,3,0,3,0
java-project,fr.univavignon.pokedex.api,Pokemon,0,38,0,0,0,12,0,6,0,6
